transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
na-a-pí-pi-ir,mE,god-PL-3SG.AGR,naapipiir,,,noun,,,,"<qt>na-<font color=""#690000"">a</font>-<font color=""#de0000"">pí</font>-<font color=""#de0000"">pi</font>-ir</qt>",,
na-ap-pi,"mE, nE",god-PL?,naappi,,,noun,,Pl.,,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font></qt>",,
d.na-ap-pi,"nE, achE",god-PL?,naappi,1,,noun,"d.na-ab-ba, d.na-pi-na",Sg.,1st,"<qt><font color=""#c30000"">d</font>.na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font></qt>",,
na-ap-pi-be,"mE, achE",god-PL-3SG.POSS,naappibe,1,,noun,na-ap-pi,Sg.,3rd Anim.,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-<font color=""#de0000"">be</font></qt>",,
d.na-ap-pi-be-ra,achE,god-PL-3SG.AGR,naappibera,,,noun,,Sg.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-<font color=""#de0000"">be</font>-<font color=""#690000"">ra</font></qt>",,
na-ap-pi-ip,"mE, nE",god-PL,naappiip,,,noun,,Pl.,3rd Anim.,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-<font color=""#690000"">ip</font></qt>",,
na-ap-pi-ir-ra,"mE, nE",god-3SG.AGR,naappiirra,,,noun,"d.na-ap-pír-ra, na-ap-pi-ra",Sg.,3rd Anim.,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-ir-<font color=""#690000"">ra</font></qt>",,
na-ap-pi-ip-ri,mE,god-PL-3SG.AGR,naappiipri,,,noun,,Sg.,3rd Anim.,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-<font color=""#690000"">ip</font>-<font color=""#9b0000"">ri</font></qt>",,
na-ap-pi-pi-ip,mE,god-PL-3PL.AGR,naappipiip,1,,noun,,,,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-<font color=""#de0000"">pi</font>-<font color=""#690000"">ip</font></qt>",,
na-ap-pi-pi-ir,nE,god-PL-3SG.AGR,naappipiir,1,,noun,"na-ap-pi-ir-ra, d.na-ap-pír-ra",Sg.,3rd Anim.,"<qt>na-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-<font color=""#de0000"">pi</font>-ir</qt>",,
