transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
at-du-ri-na,nE,father-1SG-3SG.AGR-GEN,atdurina,,,,,,,,,
i-še-ra-h,nE,3SG-command2-1SG,is~erah,,,,,,,,,
ú-mi,nE,1SG-INANIM.AGR,umi,,,,,,,,,
ir-ha-ni-h,nE,3SG-love-1SG,irhanih,,,,,,,,,
d.MÙŠ.LAM-ha,nE,Inšušinak-1SG.AGR,mus~lamha,,,,,,,,,
hal.ha-tam5-ti-na,nE,Elam-GEN,halhatamtina,,,,,,,,,
gal-la-na,nE,food-GEN,gallana,,,,,,,,,
i-ti-ri-iš-ni,nE,3SG-say-3SG-OPT,itiriis~ni,,,,,,,,,
i-ti-im-ba-an,nE,3SG-succeed-ACT.PTCP,itiimbaan,,,,,,,,,
LUGÀL-be,nE,king-PL,lugalbe,,,,,,,,,
in-tu-im-ba-an,nE,3SG.ACC-succeed-ACT.PTCP,intuimbaan,,,,,,,,,
LUGÀL-ik-ki,nE,king-at,lugalikki,,,,,,,,,
hw.hu-ban.a-h-pi-na,nE,Humban-ahpi-GEN,hubanahpina,,,,,,,,,
hw.ba-ak-ti-na,nE,Bakti-GEN,baaktina,,,,,,,,,
18-na,achE,18-'th,1na,,,,,,,,,
19-na,achE,19-'th,1na,,,,,,,,,
3-be-ud-da,achE,3-together,beudda,,,,,,,,,
ap-pu-qa-na-ma,achE,earlier-GEN-LOC,appuqanama,,,,,,,,,
2.v.LÚ.lg.ir-ra-na,achE,man-3SG.AGR-GEN,lgirrana2,,,,,,,,,
d.na-ap-pi-be,achE,god-PL?-PL,naappibe,,,,,,,,,
v.ú-ik-ki,achE,1SG-at,uikki,1,,,,,,,,
9-um-me,achE,9-'th,umme,,,,,,,,,
2.9-um-me-ma,achE,9-'th,ummema2,,,,,,,,,
šá-ma-ak-mar,achE,line-ABL,s~amaakmar,,,,,,,,,
