transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
hh.ša.ba-ar-ba-ri,mE,,s~abaarbari,,,GN,,,,"<qt><font color=""#9b0000"">hh</font>.ša.<font color=""#9b0000"">ba</font>-ar-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">ri</font></qt>",location,
h.ša.ba-li-hu,mE,Ša-Balihu,s~abalihu,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#9b0000"">ba</font>-li-<font color=""#d50000"">hu</font></qt>",location,
h.ša.be-el-[ti-ya],mE,,s~abeeltiya,,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#de0000"">be</font>-<font color=""#9b0000"">el</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font></qt>",location,
h.ša-bu-h-[…],mE,,s~abuh,,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša-<font color=""#9b0000"">bu</font>-<font color=""#d50000"">h</font>-<font color=""#9b0000"">…</font></qt>",location,
h.ša.bu-ur-ra-hu-ut-te,mE,,s~abuurrahuutte,,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#9b0000"">bu</font>-<font color=""#b40000"">ur</font>-<font color=""#690000"">ra</font>-<font color=""#d50000"">hu</font>-<font color=""#d50000"">ut</font>-te</qt>",location,
h.ša.bu-ur-na-ma-áš-hu-um,mE,Ša-Burnamašhum,s~abuurnamaas~huum,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#9b0000"">bu</font>-<font color=""#b40000"">ur</font>-na-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">áš</font>-<font color=""#d50000"">hu</font>-<font color=""#690000"">um</font></qt>",location,
h.šá-gi,achE,,s~agi,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">gi</font></qt>",location,
h.ša.ha-a-la,mE,Ša-Hāla,s~ahaala,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#690000"">ha</font>-<font color=""#690000"">a</font>-la</qt>",location,
[h].ša.ha-an-ta,mE,Ša-Hanta,s~ahaanta,1,,GN,,Sg.,2nd,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#690000"">ha</font>-<font color=""#c30000"">an</font>-ta</qt>",location,
h.ša.ha-an.ta-al-la-ak,mE,Ša-han-tallak,s~ahaantaallaak,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#690000"">ha</font>-<font color=""#c30000"">an</font>.ta-al-la-<font color=""#690000"">ak</font></qt>",location,
URU.šá-h-hu-uš-ti,nA,,s~ahhuus~ti,,,GN,,,,"<qt><font color=""#690000"">URU</font>.<font color=""#c30000"">šá</font>-<font color=""#d50000"">h</font>-<font color=""#d50000"">hu</font>-uš-<font color=""#690000"">ti</font></qt>",city,
h.ša.hi-li-ik,mE,Ša-Hilik,s~ahiliik,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#c30000"">hi</font>-li-<font color=""#c30000"">ik</font></qt>",location,
h.ša-h-na-am,mE,Šahnam,s~ahnaam,1,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša-<font color=""#d50000"">h</font>-na-am</qt>",location,
h.ša.ik-la-a-i,mE,,s~aiklaai,,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#c30000"">ik</font>-la-<font color=""#690000"">a</font>-<font color=""#9b0000"">i</font></qt>",location,
h.ša.i-mi-ri-e,mE,,s~aimirie,,,GN,,,,"<qt><font color=""#c30000"">h</font>.ša.<font color=""#9b0000"">i</font>-mi-<font color=""#9b0000"">ri</font>-<font color=""#690000"">e</font></qt>",location,
h.šá-ir-tur?-na,achE,,s~airturna,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#c30000"">šá</font>-ir-<font color=""#b40000"">tur</font>-na</qt>",location,
